Date,,CMR,XIC,XIU,XBB,XSB,XIN,XEM,XSP,XQQ,XRE,Absolute,Total,Running ROR,34.20%
"Aug 31 2010",,0.038591,1.869572,1.461714,1.949076,1.046216,-3.489197,0.199586,-4.578095,,5.398465,,5.40%,,
"Sep 30 2010",,0.048591,4.057426,3.259165,0.666116,0.044139,5.389041,7.471437,8.614784,,5.518156,,5.52%,,
"Oct 31 2010",,0.058591,2.679860,2.037007,0.191726,0.223487,2.021740,2.199145,3.793719,,1.003277,,1.00%,,
"Nov 30 2010",,0.068591,2.340401,1.980908,-1.152532,-0.672447,-0.911390,-2.051341,0.032853,,-3.828095,,-3.83%,,
"Dec 31 2010",,0.068591,4.054079,3.960334,0.147577,0.122330,4.837748,3.610936,6.586027,,0.734713,,0.73%,,
"Jan 31 2011",,0.067251,0.960664,1.449892,-0.502778,0.209847,1.388117,-3.167263,2.338124,,4.244533,,4.24%,,
"Feb 28 2011",,0.057251,4.405557,4.536100,0.193991,-0.176819,2.571663,-2.620134,3.425052,,4.571043,,4.57%,,
"Mar 31 2011",,0.067251,0.092407,-0.268166,-0.071861,0.142206,-2.972639,6.121728,-0.023847,,5.111710,,5.11%,,
"Apr 30 2011",,0.067251,-1.030390,-1.191697,0.841422,0.559190,1.564820,0.156742,2.893547,,-0.934072,,-0.93%,,
"May 31 2011",,0.067251,-0.889812,-0.979407,1.507184,0.668779,-0.695773,-0.860763,-1.115832,--,1.108116,,,,
"Jun 30 2011",,0.067251,-3.339652,-2.888345,0.091134,0.244532,-1.407828,-1.496863,-1.628819,-1.879311,-0.480293,,-0.48%,,
"Jul 31 2011",,0.067251,-2.514563,-3.822668,2.038901,0.887262,-4.321300,-2.076636,-2.077479,1.682427,0.488976,,0.49%,,
"Aug 31 2011",,0.067251,-1.303965,-0.561049,1.145951,0.713549,-8.602817,-7.149576,-5.399181,-5.095019,-1.054995,,-1.05%,,
"Sep 30 2011",,0.067251,-8.588838,-8.081449,1.767501,0.656570,-5.777830,-12.518045,-7.264243,-4.695605,0.314420,,0.31%,,
"Oct 31 2011",,0.087250,5.566263,4.828257,-0.464365,-0.168365,6.226056,10.883879,10.320655,10.105634,1.385523,,1.39%,,
"Nov 30 2011",,0.057251,-0.241870,-0.216287,0.812618,0.132089,0.327931,0.450595,-0.458676,-2.591344,2.706866,,2.71%,,
"Dec 31 2011",,0.067251,-1.712975,-1.767895,1.681760,0.471509,-0.933677,-4.380660,1.156497,-0.659473,1.960985,,1.96%,,
"Jan 31 2012",,0.069020,4.331982,4.337696,0.466987,0.231474,3.848252,9.347130,4.555801,8.270925,1.807320,,1.81%,,
"Feb 29 2012",,0.063270,1.648084,1.454839,-0.404606,-0.186031,4.670353,3.285714,4.172456,6.339135,3.413172,,3.41%,,
